Name,CPRD: Difficulty,CPRD: Est (min),CPRD: Priority,CPRD: Schema Version,CPRD: Unit Type,Category,Companies,Completed,Difficulty,Interview Frequency,Interview Signal,LeetCode Link,Notes,Pattern Notes,Pattern Role,Primary Pattern,Priority,Purpose,Role,Secondary Pattern,Source,Status,Sub-Pattern,TUF Link,Thinking Level
Flatten Binary Tree to Linked List,,,,,,Binary Trees,"Amazon, Meta",No,Medium,,Pointer manipulation in trees,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,,"Reverse postorder: right, left, root. Connect in reverse. Or Morris traversal for O(1) space!",,Tree DFS,P2 - Medium,,Synthesis,Pointer rewiring,Gap Filler,,DFS,,L5
Gas Station (Circular),,,,,,Greedy,"Amazon, Google, Microsoft",No,Medium,,Greedy proof,https://leetcode.com/problems/gas-station/,,"Greedy circular traversal. If total gas >= total cost, solution exists. Reset start when tank < 0.",,Greedy,P1 - High,,Synthesis,Prefix deficit,Gap Filler,,Greedy,,L5
Generate Parentheses,,,,,,Strings,"Amazon, Google, Meta",No,Medium,,Constraint-driven generation,https://leetcode.com/problems/generate-parentheses/,,"Backtracking with constraints: open < n, close < open. Classic backtracking problem!",,Backtracking,P1 - High,,Core,Constraints,Gap Filler,,Other,,L4
Global and Local Inversions,,,,,,Sorting Variants,Google,No,Medium,,Non-local inversion reasoning,https://leetcode.com/problems/global-and-local-inversions/,,"Check if max(arr[0..i-2]) > arr[i]. If yes, has non-local inversion.",,Inversion logic,P2 - Medium,,Synthesis,Prefix max,Gap Filler,,Sorting Variants,,L5
Graph Valid Tree,,,,,,Graphs,"Google, Meta",No,Medium,,Definition of tree,https://leetcode.com/problems/graph-valid-tree/,,"Check: n-1 edges, no cycles, connected. Use Union-Find or DFS. Foundation for tree properties!",,DFS/Union-Find,P1 - High,,Synthesis,Cycle + connectivity,Gap Filler,,DFS,,L5
H-Index II,,,,,,Binary Search,Google,No,Medium,,Binary search mapping,https://leetcode.com/problems/h-index-ii/,,BS application on sorted citations. Check if citations[mid] >= n-mid. Simple BS optimization of H-Index I.,,Binary Search,P2 - Medium,,Reinforcement,Invariant,Gap Filler,,Other,,L4
House Robber II,,,,,,Dynamic Programming,"Amazon, Meta",No,Medium,,Case splitting,https://leetcode.com/problems/house-robber-ii/,,Circular array. Two passes: exclude first or last.,,DP,P1 - High,,Reinforcement,Circular case split,Gap Filler,,DP,,L4
Insert Interval,,,,,,Greedy,"Amazon, Meta",No,Medium,,Interval merging,https://leetcode.com/problems/insert-interval/,,"Add non-overlapping before, merge overlapping, add remaining. No sort needed!",,Intervals,P1 - High,,Core,Merge,Gap Filler,,Other,,L4
Interleaving String,,,,,,Dynamic Programming,"Google, Meta",No,Hard,,DP state correctness,https://leetcode.com/problems/interleaving-string/,,2D DP on strings. dp[i][j] = can form s3[0...i+j-1] from s1[0...i-1] and s2[0...j-1].,,String DP,P1 - High,,Synthesis,2D state,Gap Filler,,DP,,L5
Jump Game II (Minimum Jumps),,,,,,Jump Game,"Amazon, Google, Meta",No,Medium,,Greedy BFS equivalence,https://leetcode.com/problems/jump-game-ii/,,BFS/Greedy. Track current window end and furthest. Increment jumps at window end.,,Greedy,P1 - High,,Synthesis,Level window,Gap Filler,,Jump Game,,L5
Jump Game III (Find Zero),,,,,,Jump Game,Amazon,No,Medium,,Reachability on implicit graph,https://leetcode.com/problems/jump-game-iii/,,"BFS/DFS with visited tracking. Bidirectional jumps (i+arr[i], i-arr[i]).",,Graph traversal,P2 - Medium,,Reinforcement,Visited,Gap Filler,,Jump Game,,L4
Kth Largest Element in Array,,,,,,Heaps,"Amazon, Google, Meta",No,Medium,,Tradeoffs under constraints,https://leetcode.com/problems/kth-largest-element-in-an-array/,,QuickSelect O(n) avg or Heap O(n log k).,,Selection,P0 - Critical,,Synthesis,Heap/Quickselect,Gap Filler,,Other,,L5
Kth Largest Element in Stream,,,,,,Heaps,"Amazon, Meta",No,Easy,,Streaming invariant,https://leetcode.com/problems/kth-largest-element-in-a-stream/,,Min heap of size k. Top is kth largest. Foundation for heap problems!,,Heap,P0 - Critical,,Core,Streaming,Gap Filler,,Other,,L3
Kth Smallest Element in BST,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,,BST properties,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,,Inorder traversal. Count k elements!,,BST inorder,P1 - High,,Reinforcement,Counting,Gap Filler,,DFS,,L4
Letter Combinations of Phone Number,,,,,,Recursion,"Amazon, Meta",No,Medium,,Combinatorics generation,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,,Backtracking with mapping. Generate all combinations!,,Backtracking,P1 - High,,Core,Mapping,Gap Filler,,Other,,L3
Linked List Cycle II,,,,,,Linked List,"Amazon, Meta",No,Medium,,Cycle start derivation,https://leetcode.com/problems/linked-list-cycle-ii/,,Floyd's + math. Find cycle start!,,Two Pointers,P1 - High,,Synthesis,Math,Gap Filler,,Two Pointers,,L5
Longest Increasing Subsequence,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,,Optimization thinking,https://leetcode.com/problems/longest-increasing-subsequence/,,O(n²) DP or O(n log n) with binary search!,,DP,P0 - Critical,,Synthesis,Binary search trick,Gap Filler,,DP,,L6
Longest Palindromic Substring - Manacher's,,,,,,Strings,"Amazon, Microsoft",No,Hard,,Advanced linear-time trick,https://leetcode.com/problems/longest-palindromic-substring/,,Manacher's algorithm - O(n) palindrome detection. Advanced but important. Use expanding centers as backup.,,Manacher,P1 - High,,Synthesis,String algo,Gap Filler,,Other,,L6
Longest Substring with At Most K Distinct Characters,,,,,,Strings,"Amazon, Google",No,Medium,,Dynamic window constraints,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,,"Sliding window + hash map. Expand while distinct <= k, shrink when > k. Fundamental sliding window.",,Sliding Window,P1 - High,,Synthesis,Hash map,Gap Filler,,Sliding Window,,L5
Magnetic Force Between Two Balls,,,,,,Binary Search,"Google, Meta",No,Hard,,Aggressive cows archetype,https://leetcode.com/problems/magnetic-force-between-two-balls/,,"Same pattern as Aggressive Cows. BSOA on minimum force (distance). Greedy: place balls greedily with min distance, check if all placed.",,BS on Answer,P0 - Critical,,Synthesis,Greedy feasibility,Gap Filler,,Binary Search on Answer,,L5
Majority Element (Boyer-Moore),,,,,,Majority Element,"Amazon, Google, Meta",No,Easy,,Elegant proof-based algorithm,https://leetcode.com/problems/majority-element/,,Boyer-Moore Voting Algorithm. Foundation for n/2 and n/3 variants.,,Boyer-Moore,P0 - Must Do,,Core,Proof,Striver A2Z,,Majority Element,,L4
Majority Element II (n/3),,,,,,Majority Element,"Amazon, Google",No,Medium,,Multi-candidate extension,https://leetcode.com/problems/majority-element-ii/,,Extended Boyer-Moore for n/3. At most 2 candidates possible.,,Boyer-Moore,P1 - High,,Synthesis,Verification pass,Striver A2Z,,Majority Element,,L5
Maximum Points You Can Obtain from Cards,,,,,,Sliding Window,"Amazon, Google",No,Medium,,Reverse thinking pattern,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,,"Reverse thinking: pick k from ends = find MINIMUM subarray of size (n-k) in middle. Use fixed sliding window to find min sum, answer = total - min_sum. Related: Subarray Sum Equals K, Maximum Subarray",,Sliding Window,P1 - High,,Synthesis,Complement subarray,Gap Filler,,Sliding Window,,L5
Maximum Product Subarray,,,,,,Dynamic Programming,"Amazon, Microsoft",No,Medium,,Negative flips state,https://leetcode.com/problems/maximum-product-subarray/,,Note: This IS in Striver Arrays but marking here as it's also a DP problem. Track both max and min (negatives flip).,,DP,P0 - Critical,,Synthesis,Track max+min,Striver A2Z,,DP,,L5
Maximum Subarray (Kadane's Algorithm),,,,,,Kadane's Algorithm,"Amazon, Apple, Google, Meta, Microsoft",No,Medium,,Core DP/greedy blend,https://leetcode.com/problems/maximum-subarray/,,Pure Kadane's. Must know both versions: max subarray sum and indices.,,Kadane,P0 - Must Do,,Core,State compression,Striver A2Z,,Kadane's Algorithm,,L4
Maximum Sum Circular Subarray,,,,,,Kadane's Algorithm,"Amazon, Microsoft",No,Medium,,Two-case decomposition,https://leetcode.com/problems/maximum-sum-circular-subarray/,,Two cases: max subarray or total - min subarray. Handle all negative case.,,Kadane,P1 - High,,Synthesis,Min-subarray trick,Gap Filler,,Kadane's Algorithm,,L5
Min Stack,,,,,,Stack & Queue,"Amazon, Meta",No,Easy,,Constant-time min,https://leetcode.com/problems/min-stack/,,"Two stacks: main + min. Or store (value, current_min) pairs. Design problem!",,Stack,P0 - Critical,,Core,Min tracking,Gap Filler,,Other,,L3
Minimize Max Distance to Gas Station,,,,,,Binary Search,Google,No,Hard,,Floating feasibility,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,,"Fractional binary search! Search on real numbers with precision. Binary search on max distance, check if K stations enough. Google asks this often.",,BS on Answer,P0 - Critical,,Synthesis,Precision,Gap Filler,,Binary Search on Answer,,L6
Minimum Cost to Merge Stones,,,,,,Dynamic Programming,Google,No,Hard,,Hard interval DP,https://leetcode.com/problems/minimum-cost-to-merge-stones/,,"Interval DP variant. Merge K piles at a time. 3D DP: dp[i][j][p] = min cost to merge [i,j] into p piles.",,Interval DP,P2 - Medium,,Synthesis,3D state,Gap Filler,,DP,,L6
Minimum Height Trees,,,,,,Graphs,Google,No,Medium,,Graph center via peeling,https://leetcode.com/problems/minimum-height-trees/,,Trim leaves level by level until 1-2 nodes remain. Find graph center. Unique BFS pattern!,,Graph BFS,P2 - Medium,,Synthesis,Topological peel,Gap Filler,,BFS,,L5
Minimum Number of Days to Make m Bouquets,,,,,,Binary Search on Answer,"Google, Meta",No,Medium,,Validator with consecutive groups,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,,"Binary search on days [min(bloomDay), max(bloomDay)]. For each day, count consecutive k-flower groups. If groups ≥ m, try fewer days. Related: Koko Eating Bananas, Capacity to Ship Packages",,BS on Answer,P1 - High,,Synthesis,Feasibility,Gap Filler,,Binary Search on Answer,,L5
Minimum Time to Complete Trips,,,,,,Binary Search on Answer,"Amazon, Google",No,Medium,,Throughput feasibility,https://leetcode.com/problems/minimum-time-to-complete-trips/,,"Binary search on time [1, min(time)*totalTrips]. For each mid, calculate total trips = Σ(mid/time[i]). If ≥ totalTrips, try less time. Related: Koko Eating Bananas, Capacity to Ship Packages",,BS on Answer,P1 - High,,Synthesis,Feasibility,Gap Filler,,Binary Search on Answer,,L5
Missing Number,,,,,,Bit Manipulation,"Amazon, Meta",No,Easy,,Core XOR trick,https://leetcode.com/problems/missing-number/,,XOR or sum formula. Simple!,,XOR,P1 - High,,Core,Math,Gap Filler,,Other,,L2
Next Greater Element II (Circular),,,,,,Monotonic Stack,"Amazon, Google",No,Medium,,Circular doubling trick,https://leetcode.com/problems/next-greater-element-ii/,,Circular array with monotonic stack. Process array twice or use modulo.,,Monotonic Stack,P1 - High,,Synthesis,Circular trick,Gap Filler,,Monotonic Stack,,L5
Number of 1 Bits,,,,,,Bit Manipulation,"Amazon, Meta",No,Easy,,Bit manipulation invariant,https://leetcode.com/problems/number-of-1-bits/,,n & (n-1) removes rightmost 1!,,Bit trick,P1 - High,,Core,n&(n-1),Gap Filler,,Other,,L2
Pacific Atlantic Water Flow,,,,,,Graphs,"Amazon, Meta",No,Medium,,Reverse reachability,https://leetcode.com/problems/pacific-atlantic-water-flow/,,DFS from both oceans. Find intersection!,,Graph DFS,P1 - High,,Synthesis,Reverse flow,Gap Filler,,DFS,,L5
Palindrome Linked List,,,,,,Linked List,"Amazon, Meta",No,Easy,,Pointer manipulation,https://leetcode.com/problems/palindrome-linked-list/,,"Find middle, reverse second half, compare. O(1) space solution!",,Two Pointers,P1 - High,,Reinforcement,Reverse half,Gap Filler,,Two Pointers,,L4
Palindrome Partitioning,,,,,,Strings,"Amazon, Google",No,Medium,,Pruning + DP cache,https://leetcode.com/problems/palindrome-partitioning/,,Backtracking + DP for palindrome check. Generate all valid partitions. Amazon favorite!,,Backtracking,P1 - High,,Synthesis,Palindrome DP,Gap Filler,,Other,,L5
Partition Equal Subset Sum,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,,Core knapsack framing,https://leetcode.com/problems/partition-equal-subset-sum/,,Foundation 0/1 knapsack variant. Check if subset with sum=total/2 exists. Critical pattern for understanding knapsack!,,Knapsack,P0 - Critical,,Synthesis,0/1 subset,Gap Filler,,DP,,L5
Pascal's Triangle,,,,,,Matrix,"Amazon, Microsoft",No,Easy,,Foundational DP-like build,https://leetcode.com/problems/pascals-triangle/,,Build row by row. row[j] = prev[j-1] + prev[j]. Foundation for nCr problems.,,Matrix,P1 - High,,Core,Combinatorics,Striver A2Z,,Matrix,,L2
Pascal's Triangle II (Get Row),,,,,,Matrix,Amazon,No,Easy,,Space optimization,https://leetcode.com/problems/pascals-triangle-ii/,,Space optimized. Update row in reverse. O(k) space for kth row.,,Matrix,P2 - Medium,,Reinforcement,In-place update,Gap Filler,,Matrix,,L3
Perfect Squares,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,,Multiple paradigms,https://leetcode.com/problems/perfect-squares/,,Unbounded knapsack variant. Find minimum squares that sum to n. Also solvable with BFS!,,DP,P1 - High,,Synthesis,BFS alt,Gap Filler,,DP,,L5
Permutations II,,,,,,Recursion,"Amazon, Meta",No,Medium,,Dedup correctness,https://leetcode.com/problems/permutations-ii/,,Sort + skip same elements at same level. Dedup pattern!,,Backtracking,P1 - High,,Synthesis,Dedup,Gap Filler,,Other,,L5
Predict the Winner,,,,,,Game Theory,Amazon,No,Medium,,Optimal play DP,https://leetcode.com/problems/predict-the-winner/,,"Minimax with DP. dp[i][j] = max diff for subarray [i,j].",,Game DP,P2 - Medium,,Synthesis,Minimax,Gap Filler,,Game Theory,,L5
Product of Array Except Self,,,,,,Arrays,"Amazon, Google, Meta",No,Medium,,Space/time tradeoff,https://leetcode.com/problems/product-of-array-except-self/,,Left products + right products. O(1) space trick!,,Prefix products,P0 - Critical,,Core,Two-pass,Gap Filler,,Other,,L4
Range Addition (Difference Array),,,,,,Prefix Sum,"Amazon, Google",No,Medium,,Batch updates efficiently,,,"Difference array pattern for multiple range updates. arr[l] += val, arr[r+1] -= val. Related: Corporate Flight Bookings, Car Pooling",,Difference Array,P1 - High,,Synthesis,Range updates,Gap Filler,,Prefix Sum,,L5
Range Sum Query - Immutable,,,,,,Prefix Sum,"Amazon, Microsoft",No,Easy,,Range query baseline,https://leetcode.com/problems/range-sum-query-immutable/,,Classic prefix sum array. Foundation for range query optimization.,,Prefix Sum,P1 - High,,Core,Precompute,Gap Filler,,Prefix Sum,,L2
Redundant Connection,,,,,,Graphs,"Amazon, Google",No,Medium,,DSU intro via cycle,https://leetcode.com/problems/redundant-connection/,,Union-Find to detect cycle edge. Find edge that creates cycle. Tests cycle detection!,,Union-Find,P2 - Medium,,Reinforcement,Cycle detect,Gap Filler,,DFS,,L4
Remove Duplicates from Sorted Array II,,,,,,Two Pointers,"Amazon, Microsoft",No,Medium,,In-place array compaction,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,,Two pointers. Allow up to k duplicates. Check nums[i] != nums[slow-k].,,Two Pointers,P1 - High,,Reinforcement,K-allowed,Gap Filler,,Two Pointers,,L4
Remove Nth Node From End,,,,,,Linked List,"Amazon, Meta",No,Medium,,One-pass pointer trick,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,,Two pointers with n gap. One pass solution!,,Two Pointers,P1 - High,,Core,Gap technique,Gap Filler,,Two Pointers,,L4
Reorder List,,,,,,Linked List,"Amazon, Meta",No,Medium,,Multiple LL operations,https://leetcode.com/problems/reorder-list/,,"Find middle, reverse second half, merge!",,Linked List,P1 - High,,Synthesis,Reverse+merge,Gap Filler,,Other,,L5
Repeated DNA Sequences,,,,,,Strings,"Amazon, Google",No,Medium,,Rolling/window hashing,https://leetcode.com/problems/repeated-dna-sequences/,,Sliding window + HashSet. Track 10-char substrings. Also solvable with Rabin-Karp!,,Sliding Window,P1 - High,,Synthesis,Hashing,Gap Filler,,Sliding Window,,L5
Reverse Bits,,,,,,Bit Manipulation,"Amazon, Meta",No,Easy,,Bit manipulation fundamentals,https://leetcode.com/problems/reverse-bits/,,Shift and build. Bit by bit!,,Bit ops,P1 - High,,Core,Shift/build,Gap Filler,,Other,,L2
Reverse Nodes in k-Group,,,,,,Linked List,"Amazon, Meta",No,Hard,,Complex pointer choreography,https://leetcode.com/problems/reverse-nodes-in-k-group/,,Reverse in chunks of k. Check if k nodes remain. Advanced reversal pattern!,,Linked List,P2 - Medium,,Synthesis,Chunk reversal,Gap Filler,,Other,,L6
